Date,Part,Price,Description,URL
2021-02-11 15:56:40,rtx3060ti,536.72,Zotac Gaming GeForce RTX 3060 Ti Twin Edge. ZT-A30610E-10M,https://www.amazon.de/_itm/dp/B08P34VCVN?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-11 15:49:20,rtx3080,999.00,ASUS TUF GeForce RTX 3080 10 GB OC Version Gaming Grafikkarte (Nvidia Ampere. PCIe 4.0. DLSS. Raytra,https://www.amazon.de/_itm/dp/B08HN4DSTC?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-11 12:12:28,rtx3070,729.00,ASUS TUF GeForce RTX 3070 8GB OC Edition Gaming Grafikkarte (PCIe 4.0. GDDR6 Speicher. 2x HDMI 2.1. ,https://www.amazon.de/_itm/dp/B08LLG9KQT?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-10 21:20:55,rtx3060ti,482.29,EVGA GeForce RTX 3060 Ti FTW Ultra Gaming. 08G-P5-3667-KR. 8GB GDDR6. iCX3 Kühlung. ARGB LED,https://www.amazon.de/_itm/dp/B08P2H5LW2?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-10 19:55:17,rtx3070,687.24,EVGA 08G-P5-3767-KR GeForce RTX 3070 FTW3 Ultra Gaming. 8GB GDDR6. iCX3 Technologie. ARGB LED. Metal,https://www.amazon.de/_itm/dp/B08L8L9TCZ?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-10 19:14:24,rtx3070,566.44,Gigabyte GeForce RTX 3070 GAMING OC - Scheda grafica da 8 GB,https://www.amazon.it/_itm/dp/B08KHL21CV?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-02-10 19:14:14,rtx3070,617.47,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-10 17:52:47,rtx3080,870.00,ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Carte Graphique (PCIe 4.0. 10GB GDDR6X. HDMI 2.1.,https://www.amazon.fr/_itm/dp/B08HN4DSTC?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-10 17:52:01,rtx3070,746.54,Gigabyte GeForce RTX 3070 GAMING OC - Scheda grafica da 8 GB,https://www.amazon.it/_itm/dp/B08KHL21CV?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-02-10 17:44:12,rtx3070,727.00,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-10 16:19:32,rtx3080,812.02,Palit GeForce RTX 3080 GamingPro Carte Graphique 10 Go GDDR6X Ray-Tracing 8704 Core. 1440 MHz. 1710 ,https://www.amazon.fr/_itm/dp/B08JCVWTQY?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-10 15:33:49,rtx3060ti,515.37,EVGA GeForce RTX 3060 Ti FTW Ultra Gaming. 08G-P5-3667-KR. 8GB GDDR6. iCX3 Kühlung. ARGB LED,https://www.amazon.de/_itm/dp/B08P2H5LW2?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-10 14:38:28,rtx3070,394.33,MSI GeForce RTX 3070 Gaming X Trio (8GB GDDR6/PCI Express 4.0/MHz/MHz),https://www.amazon.co.uk/_itm/dp/B08LNPPCWJ?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-10 10:49:13,rtx3080,900.00,MSI GeForce RTX 3080 Gaming X Trio,https://www.amazon.co.uk/_itm/dp/B08HM4V2DH?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-10 10:32:57,rtx3080,820.00,EVGA 10G-P5-3885-KR GeForce RTX 3080 XC3 ULTRA GAMING. 10GB GDDR6X. iCX3 Cooling. ARGB LED. Metal Ba,https://www.amazon.co.uk/_itm/dp/B08HR55YB5?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
